clube,id
América-MG,0
Atlético-MG,1
Atlético-PR,2
Bahia,3
Botafogo,4
Ceará,5
Chapecoense,6
Corinthians,7
Cruzeiro,8
Flamengo,9
Fluminense,10
Grêmio,11
Internacional,12
Palmeiras,13
Paraná,14
Santos,15
São Paulo,16
Sport,17
Vasco,18
Vitória,19
